State,District,Latitude,Longitude,District code,Households_with_Internet,Rural_Households,Urban_Households,Population,Sex Ratio,Literacy Rate
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1784,299252,35405,1706352,92.0,58.01
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,6280,907174,95539,3937385,91.0,46.14
Bihar,Gaya,24.7266541547278,84.94291217765044,236,6856,696289,111282,4391418,94.0,52.32
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,3707,515925,38133,2562012,102.0,53.98
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1839,325909,30851,1760405,92.0,48.77
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1106,186660,28132,1125313,92.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,2941,668232,69838,3071029,92.0,41.69
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1580,373696,21007,1666886,89.0,46.08
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1093,401793,43357,1690400,95.0,44.08
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1186,175882,31763,1000912,90.0,50.68
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,1397,486278,24000,2001762,91.0,41.69
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,5319,1047552,41234,4487379,93.0,48.03
Bihar,Munger,25.198537962962963,86.54173672839504,226,2653,222281,85782,1367765,88.0,58.62
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,10290,998694,120700,4801062,90.0,52.26
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,4156,514141,102522,2877653,92.0,52.82
Bihar,Nawada,24.825708836206903,85.61594568965519,237,1841,379551,45323,2219146,94.0,49.16
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3495,839514,96620,3935042,91.0,44.71
Bihar,Patna,25.40297114503818,85.3198433587787,230,40692,657991,552103,5838465,90.0,59.26
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,7719,1142260,101565,5099371,90.0,44.65
Bihar,Purnia,25.81714801901739,87.40447606973065,211,4170,712847,85749,3264619,92.0,40.81
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,4594,512383,95678,2959918,92.0,60.81
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1668,432651,38046,1900661,91.0,42.35
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,5379,1012979,43486,4261566,91.0,50.28
Bihar,Saran,25.89656077844312,84.82266287425155,219,4509,701323,76299,3951862,95.0,54.59
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,631,108293,24345,636342,93.0,51.65
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,478,158484,7516,656246,89.0,43.23
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3460,807294,49670,3423574,90.0,41.97
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3834,632514,41858,3330464,99.0,57.96
Bihar,Supaul,26.28157893772896,86.78496465201461,208,1845,572287,27815,2229076,93.0,46.35
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,4810,699317,51494,3495021,89.0,55.13
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,44283,8911,289456,1055450,82.0,76.31
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1782,316425,54894,1413199,102.0,46.06
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,1574,152458,11987,381956,98.0,75.3
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,8566,549632,188174,2663629,97.0,59.94
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,1016,168689,41792,799781,101.0,68.37
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,16141,533448,349741,3343872,99.0,68.88
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,567,205670,20722,851669,101.0,58.17
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,4544,206598,126055,1206640,97.0,62.05
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,1667,121852,59763,658917,97.0,60.38
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,961,274793,35774,1032754,102.0,61.77
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,3342,354278,66638,1493984,99.0,63.7
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,38570,581868,377160,2634200,96.0,73.65
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,20261,673499,395001,4063872,98.0,64.71
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2737,525596,65167,2359886,98.0,50.34
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,1316,10006,61073,191173,53.0,78.64
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,6628,489237,287506,2743082,95.0,67.18
Goa,North Goa,15.548723418714054,73.80667997909038,585,23440,115859,209230,818008,96.0,81.06
Goa,South Goa,15.195278658183785,73.941792596877,586,17624,88620,162873,640537,99.0,78.44
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,126341,353169,1845383,7214225,90.0,75.35
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,2538,313714,116899,1514190,96.0,65.74
Gujarat,Anand,22.282718206229863,72.57782051557454,482,9902,413078,208909,2092745,92.0,74.13
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3424,666773,137424,3120506,94.0,54.64
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,10257,300677,181319,1551019,93.0,72.1
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,7297,387251,356826,2880365,93.0,65.52
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,12107,237624,195634,1391753,92.0,74.04
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,11573,347158,299167,2160119,94.0,64.65
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,6628,489237,287506,2743082,95.0,67.18
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,9631,488293,250982,2092371,91.0,59.85
Gujarat,Kheda,22.88765312500002,73.018803515625,483,5710,461479,160547,2299885,94.0,72.19
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,7759,476005,183738,2035064,93.0,73.84
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,576,138121,22248,590297,96.0,62.74
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,6726,267739,141417,1329672,96.0,75.35
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,3456,463363,104238,2390776,95.0,60.27
Gujarat,Patan,23.80634198473284,71.75162977099237,470,2231,301483,102655,1343734,94.0,62.36
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,1653,96015,87557,585449,95.0,67.24
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,21785,459474,721532,3804558,93.0,71.63
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,5262,544024,121509,2428589,95.0,65.01
Gujarat,Surat,21.25761372772093,72.93488716344339,492,55694,369840,1529998,6081322,79.0,75.17
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,2975,340788,159810,1756268,93.0,62.27
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,137,52102,7516,228291,101.0,61.75
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,53606,547454,692971,4165626,93.0,69.45
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,11020,262410,235981,1705678,92.0,68.63
Haryana,Ambala,30.3503672316384,76.94970310734456,70,12899,175365,139891,1128350,88.0,72.5
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,5292,357047,99235,1634445,89.0,65.46
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,43437,87700,382981,1809733,87.0,70.33
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,3210,203020,55360,942011,90.0,59.19
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,67087,141703,381988,1514432,85.0,73.37
Haryana,Hisar,29.23628731117825,75.84324682779452,80,10132,302013,154113,1743931,87.0,63.9
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,5034,211816,78328,958405,86.0,70.54
Haryana,Jind,29.45149821958457,76.29598575667653,77,5263,278335,89665,1334152,87.0,62.42
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,3724,231091,75696,1074304,88.0,60.18
Haryana,Karnal,29.703200647249204,76.87488025889972,74,11163,292682,135920,1505324,89.0,64.97
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,7356,203553,88268,964655,89.0,67.06
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,2624,223726,44216,922088,89.0,68.35
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,18615,70895,93656,561293,87.0,72.21
Haryana,Panipat,29.34352134146342,76.92895914634147,75,10024,173502,153804,1205437,86.0,65.25
Haryana,Rewari,28.19164714828897,76.55956007604564,85,5121,199449,69305,900332,90.0,70.75
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,8482,175203,131739,1061204,87.0,70.45
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,6287,245476,93316,1295189,90.0,60.45
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,1574,152458,11987,381956,98.0,75.3
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,8566,549632,188174,2663629,97.0,59.94
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,1615,186395,13836,519080,99.0,62.39
